primaryTitle,genres,directors,writers,averageRating,gross
Ocean's Thirteen,"['Crime', 'Thriller']",['nm0001752'],"['nm0002718', 'nm0505522', 'nm0425138', 'nm0751207']",6.9,311744465
Ocean's Twelve,"['Crime', 'Thriller']",['nm0001752'],"['nm1079776', 'nm0425138', 'nm0751207']",6.5,362989076
Oceans,"['Documentary', 'Drama']","['nm0674742', 'nm0167384']","['nm0156295', 'nm0167384', 'nm3199740', 'nm1144320', 'nm3200544', 'nm0674742', 'nm3201326']",7.8,86787530
October Sky,"['Biography', 'Drama', 'Family']",['nm0002653'],"['nm0382573', 'nm0171474']",7.8,33109865
Office Christmas Party,['Comedy'],"['nm0817447', 'nm0330347']","['nm0524190', 'nm0601859', 'nm0000251', 'nm3675159', 'nm2083678', 'nm0563243']",5.8,91334989
Old Dogs,"['Comedy', 'Crime', 'Drama']",['nm0153068'],"['nm0153068', 'nm0153164']",6.5,95104304
Old Dogs,"['Comedy', 'Family']",['nm0065608'],"['nm0224606', 'nm0919289']",5.4,95104304
Old School,['Comedy'],['nm0680846'],"['nm1216189', 'nm0680846', 'nm0035905']",7.1,86765463
Old School,"['Comedy', 'Crime']",['nm0043705'],"['nm0008079', 'nm0043705', 'nm0095878', 'nm0652263']",3.8,86765463
Olympus Has Fallen,"['Action', 'Thriller']",['nm0298807'],"['nm4950667', 'nm4951717']",6.5,150562164
On Deadly Ground,"['Action', 'Adventure', 'Thriller']",['nm0000219'],"['nm0395288', 'nm0751547']",4.5,38590458
Once Around,"['Comedy', 'Drama', 'Romance']",['nm0002120'],['nm0549369'],6.5,14851000
Once Upon a Time in Mexico,"['Action', 'Thriller']",['nm0001675'],['nm0001675'],6.4,97413527
One Fine Day,"['Drama', 'Romance']",['nm1069594'],"['nm8294126', 'nm8294125']",6.9,46169663
One Fine Day,['Documentary'],['nm3387260'],['nm3387260'],9.0,46169663
One Fine Day,"['Comedy', 'Drama', 'Romance']",['nm0001355'],"['nm0783559', 'nm0800124']",6.5,46169663
One Good Cop,"['Action', 'Crime', 'Drama']",['nm0332392'],['nm0332392'],5.8,11276846
One Hour Photo,"['Drama', 'Thriller']",['nm0738796'],['nm0738796'],6.8,52223306
One Piece Film Z,"['Action', 'Adventure', 'Animation']",['nm0619110'],"['nm1520917', 'nm1151238']",8.0,70569231
One True Thing,['Drama'],['nm0002083'],"['nm0703683', 'nm0188733']",7.0,26708196
Only You,"['Drama', 'Romance']",['nm1577323'],"['nm1577323', 'nm1552811']",7.2,20042048
Only You,"['Comedy', 'Romance']",['nm7424713'],"['nm0236884', 'nm9563878']",5.4,20042048
Only You,"['Drama', 'Romance']",['nm0012892'],"['nm0012892', 'nm0063357']",6.1,20042048
Only You,"['Comedy', 'Romance']",['nm0422484'],['nm0236884'],6.5,20042048
Only You,"['Comedy', 'Romance']",['nm0858525'],['nm0723573'],5.4,20042048
Only the Lonely,"['Comedy', 'Romance']",['nm0001060'],['nm0001060'],6.3,21830957
Open Range,"['Action', 'Drama', 'Romance']",['nm0000126'],"['nm0656842', 'nm0998086']",7.5,68613992
Open Season,"['Adventure', 'Animation', 'Comedy']","['nm0021249', 'nm0191717', 'nm0820934']","['nm1943855', 'nm0560894', 'nm0191717', 'nm0820934', 'nm1558946', 'nm0137811', 'nm0363958', 'nm3021990', 'nm3021923', 'nm0070368']",6.1,191932158
Open Season,['Comedy'],['nm0943237'],['nm0943237'],5.4,191932158
Open Water,"['Adventure', 'Drama', 'Horror']",['nm0448900'],['nm0448900'],5.7,55518641
Operation Dumbo Drop,"['Action', 'Adventure', 'Comedy']",['nm0934578'],"['nm0606611', 'nm0704164', 'nm0467942']",5.0,24670346
Operation Mekong,"['Action', 'Adventure', 'Crime']",['nm0482592'],"['nm0482592', 'nm4590863', 'nm8458425', 'nm8458426', 'nm2706978']",6.7,173145204
Opportunity Knocks,['Comedy'],['nm0677953'],"['nm0441338', 'nm0077111']",6.0,11359129
Orange County,"['Comedy', 'Drama']",['nm0440458'],['nm0925234'],6.2,43308707
Orphan,['Drama'],['nm0220774'],"['nm4663240', 'nm0220774']",6.2,78769428
Orphan,"['Horror', 'Mystery', 'Thriller']",['nm1429471'],"['nm0424901', 'nm2858852']",7.0,78769428
Orphan,['Drama'],['nm0602155'],['nm0615433'],7.2,78769428
Oscar,['Documentary'],['nm1172832'],['nm1172832'],8.2,23562716
Oscar,['\\N'],['\\N'],['\\N'],7.4,23562716
Oscar,"['Comedy', 'Crime']",['nm0000484'],"['nm0536249', 'nm0057398', 'nm0611848']",6.5,23562716
Other People's Money,"['Comedy', 'Drama', 'Romance']",['nm0422484'],"['nm0827957', 'nm0765091']",6.1,35682000
Ouija,"['Horror', 'Thriller']",['nm0925482'],"['nm1340000', 'nm0925482']",4.5,103300632
Ouija,"['Drama', 'Mystery', 'Romance']",['nm0950352'],['nm0950352'],4.4,103300632
Ouija,['Horror'],['nm1768213'],"['nm1771556', 'nm10012538']",3.1,103300632
Ouija: Origin of Evil,"['Horror', 'Thriller']",['nm1093039'],"['nm1093039', 'nm3670452', 'nm1340000', 'nm0925482']",6.1,81831866
Our Times,"['Comedy', 'Romance']",['nm3498229'],['nm5303971'],7.4,82015701
Our Times,['\\N'],['nm0051999'],['\\N'],7.2,82015701
Out for Justice,"['Action', 'Crime', 'Drama']",['nm0283500'],['nm0377792'],6.1,39673161
Out of Sight,"['Drama', 'Mystery']",['nm0843491'],['nm2043783'],7.0,77562568
Out of Sight,"['Crime', 'Drama', 'Romance']",['nm0001752'],"['nm0001465', 'nm0291082']",7.0,77562568
Out of Time,"['Crime', 'Drama', 'Mystery']",['nm0002083'],['nm1152581'],6.5,55489826
Out of Time,['Comedy'],['nm0242697'],"['nm0242697', 'nm0841953']",6.4,55489826
Out to Sea,"['Comedy', 'Romance']",['nm0004838'],['nm0414608'],6.1,28985323
Outbreak,"['Action', 'Drama', 'Thriller']",['nm0000583'],"['nm0245435', 'nm0690798']",6.6,190023573
Over the Hedge,"['Adventure', 'Animation', 'Comedy']","['nm0456732', 'nm0426333']","['nm0089676', 'nm0131661', 'nm0395924', 'nm0456732', 'nm1212328', 'nm1213375', 'nm1938852', 'nm0221133', 'nm0286790']",6.7,343397247
Oz the Great and Powerful,"['Adventure', 'Family', 'Fantasy']",['nm0000600'],"['nm0438449', 'nm1865755', 'nm0000875']",6.3,490359051
Pacific Heights,['Thriller'],['nm0772259'],['nm0002417'],6.4,29381956
Pacific Rim,"['Action', 'Adventure', 'Sci-Fi']",['nm0868219'],"['nm2012438', 'nm0868219']",6.9,411002906
Paddington,"['Adventure', 'Comedy', 'Family']",['nm1653753'],"['nm0566100', 'nm1653753', 'nm1286491']",7.2,258789097
Pain & Gain,"['Action', 'Comedy', 'Crime']",['nm0000881'],"['nm1321655', 'nm1321656', 'nm2431017']",6.4,81275291
Pan,"['Adventure', 'Family', 'Fantasy']",['nm0942504'],"['nm0297229', 'nm0057381']",5.8,151525973
Pan,['Drama'],['nm0632300'],['nm0632300'],5.4,151525973
Pan,['Drama'],['nm0137830'],"['nm0137830', 'nm0359105']",5.4,151525973
Panic Room,"['Action', 'Drama', 'Mystery']",['nm6825011'],"['nm6825012', 'nm6825011']",4.9,196308367
Panic Room,"['Crime', 'Drama', 'Thriller']",['nm0000399'],['nm0462895'],6.8,196308367
Paper Towns,"['Comedy', 'Drama', 'Mystery']",['nm1500577'],"['nm2354099', 'nm2352210', 'nm1981261']",6.3,85512300
ParaNorman,"['Adventure', 'Animation', 'Comedy']","['nm0271402', 'nm2752098']",['nm2752098'],7.0,108119662
Paradise,"['Crime', 'Drama']",['nm8448750'],['nm8448750'],6.7,18634643
Paradise,"['Drama', 'War']",['nm0464846'],"['nm0464846', 'nm6352831']",7.0,18634643
Paradise,"['Comedy', 'Drama']",['nm5499331'],"['nm5265767', 'nm5499331']",7.9,18634643
Paradise,['Drama'],['nm4951626'],['nm4951626'],5.9,18634643
Paradise,['\\N'],['nm0146760'],['nm0146760'],6.3,18634643
Paradise,"['Comedy', 'Drama']",['nm1959505'],['nm1959505'],4.9,18634643
Paradise,"['History', 'Horror', 'Thriller']",['nm3014429'],['nm3014429'],2.9,18634643
Paradise,['Romance'],['nm1389277'],['\\N'],4.8,18634643
Paradise,['Documentary'],['nm0021899'],['\\N'],6.7,18634643
Paradise,['Drama'],['nm1065796'],['\\N'],6.0,18634643
Paradise,"['Action', 'Crime', 'Drama']",['nm0638324'],"['nm0638324', 'nm0354780', 'nm1065970']",4.7,18634643
Paradise,['Drama'],['nm0232858'],"['nm0232858', 'nm0399464']",6.7,18634643
Paranormal Activity,['Horror'],['nm2305431'],['nm2305431'],6.3,194183034
Paranormal Activity 2,['Horror'],['nm0931095'],"['nm2317082', 'nm0675219', 'nm2305431', 'nm0484907']",5.7,177512032
Paranormal Activity 3,['Horror'],"['nm1160962', 'nm1413364']","['nm0484907', 'nm2305431']",5.8,207039844
Paranormal Activity 4,['Horror'],"['nm1413364', 'nm1160962']","['nm0484907', 'nm1739039', 'nm2305431']",4.6,142817992
Paranormal Activity: The Ghost Dimension,['Horror'],['nm0687427'],"['nm3091255', 'nm2065670', 'nm0733263', 'nm1134130', 'nm3500903', 'nm2305431']",4.6,77959374
Paranormal Activity: The Marked Ones,"['Horror', 'Thriller']",['nm0484907'],"['nm0484907', 'nm2305431']",5.0,90904854
Parental Guidance,"['Comedy', 'Family']",['nm0275698'],"['nm0011639', 'nm0843467']",6.1,120832383
Passenger 57,"['Action', 'Crime', 'Thriller']",['nm0393661'],"['nm0706296', 'nm0330108', 'nm0521739']",5.9,44065653
Passengers,"['Drama', 'Romance', 'Sci-Fi']",['nm0878763'],['nm3123612'],7.0,302239672
Passengers,['Drama'],['nm1821879'],['nm1821879'],5.4,302239672
Passengers,"['Drama', 'Fantasy', 'Horror']",['nm0006554'],['nm0159892'],5.9,302239672
Patch Adams,"['Biography', 'Comedy', 'Drama']",['nm0001723'],"['nm0011254', 'nm0616962', 'nm0644203']",6.7,202173000
Patriot Games,"['Action', 'Thriller']",['nm0637518'],"['nm0002007', 'nm0407717', 'nm0829329']",6.9,178100000
Paul,['Drama'],['nm0271333'],['nm0271333'],4.8,101162106
Paul,"['Adventure', 'Comedy', 'Sci-Fi']",['nm0609549'],"['nm0670408', 'nm0296545']",7.0,101162106
Paul Blart: Mall Cop,"['Action', 'Comedy', 'Crime']",['nm0139867'],"['nm0416673', 'nm0048169']",5.2,185904750
Paul Blart: Mall Cop 2,"['Action', 'Comedy', 'Crime']",['nm0275698'],"['nm0416673', 'nm0048169']",4.4,107650646
Paulie,"['Adventure', 'Comedy', 'Drama']",['nm0731253'],['nm0185934'],6.5,27084499
Payback,"['Action', 'Comedy', 'Drama']",['nm0602403'],"['nm5055462', 'nm0602403']",5.1,161626121
Payback,['Documentary'],['nm0047028'],"['nm0041194', 'nm0047028']",6.4,161626121
Payback,"['Action', 'Crime', 'Drama']",['nm4118651'],"['nm3179723', 'nm4117021']",5.5,161626121
Payback,"['Crime', 'Drama']",['nm0635800'],['nm8085130'],3.3,161626121
Payback,['Action'],['nm2362833'],['nm2783974'],4.6,161626121
Payback,"['Action', 'Crime', 'Drama']",['nm0001338'],"['nm0922799', 'nm0001338', 'nm0371249']",7.1,161626121
Payback,['Thriller'],['nm0382776'],['nm0076384'],5.9,161626121
Payback,"['Action', 'Crime', 'Drama']",['nm0812787'],['nm0262277'],5.2,161626121
Payback,"['Action', 'Comedy', 'Crime']",['nm0709527'],['nm0709527'],4.6,161626121
Paycheck,"['Action', 'Crime', 'Drama']",['nm0000247'],"['nm0001140', 'nm1212988']",6.3,98819789
Pearl Harbor,"['Action', 'Drama', 'History']",['nm0000881'],['nm0908824'],6.1,449239855
Penguins of Madagascar,"['Adventure', 'Animation', 'Comedy']","['nm0971239', 'nm0201509']","['nm1685000', 'nm1595526', 'nm1725022', 'nm0774786', 'nm2523794']",6.7,366942531
Percy Jackson & the Olympians: The Lightning Thief,"['Adventure', 'Family', 'Fantasy']",['nm0001060'],"['nm0864471', 'nm2292894']",5.9,223050874
Percy Jackson: Sea of Monsters,"['Adventure', 'Family', 'Fantasy']",['nm0294457'],"['nm0973233', 'nm2292894']",5.8,200859554
Perfect Stranger,"['Crime', 'Drama', 'Horror']",['nm0001226'],"['nm0464548', 'nm0092578']",5.7,62526388
Perfume: The Story of a Murderer,"['Crime', 'Drama', 'Fantasy']",['nm0878756'],"['nm0001949', 'nm0251536', 'nm0878756', 'nm0845752']",7.5,133603463
Pet Sematary II,"['Fantasy', 'Horror']",['nm0005116'],['nm0653693'],4.8,17092453
Peter Pan,"['Adventure', 'Family', 'Fantasy']",['nm0389591'],"['nm0057381', 'nm0389591', 'nm0325533']",6.9,95255485
Phenomenon,['Drama'],['nm4177136'],['nm0267043'],6.0,152036382
Phenomenon,"['Drama', 'Fantasy', 'Romance']",['nm0005509'],['nm0224187'],6.4,152036382
Philadelphia,['Drama'],['nm0001129'],['nm0638913'],7.7,201324422
Philomena,"['Biography', 'Drama']",['nm0001241'],"['nm0176869', 'nm0691131', 'nm1939381']",7.6,98963392
Phone Booth,"['Crime', 'Thriller']",['nm0001708'],['nm0169540'],7.1,97837138
Phone Booth,['\\N'],['nm0917216'],['nm0917216'],6.7,97837138
Picture Perfect,"['Comedy', 'Drama', 'Romance']",['nm0139111'],"['nm0815071', 'nm0805284', 'nm0703515', 'nm0139111']",5.5,31301775
Piglet's Big Movie,"['Adventure', 'Animation', 'Comedy']",['nm0322368'],"['nm0389830', 'nm0590316', 'nm0377427', 'nm9249394']",6.1,62870546
Pineapple Express,"['Action', 'Comedy', 'Crime']",['nm0337773'],"['nm0736622', 'nm1698571', 'nm0031976']",7.0,102404019
Piranha 3D,"['Comedy', 'Horror']",['nm0014960'],"['nm1539257', 'nm0831457']",5.5,83660160
Pirates of the Caribbean: On Stranger Tides,"['Action', 'Adventure', 'Fantasy']",['nm0551128'],"['nm0254645', 'nm0744429', 'nm0064181', 'nm0938684', 'nm0694627']",6.6,1045663875
Pitch Black,"['Horror', 'Sci-Fi']",['nm0878638'],"['nm0923646', 'nm0003117', 'nm0878638']",7.1,53182088
Pitch Perfect,"['Comedy', 'Music', 'Romance']",['nm0601337'],"['nm0134224', 'nm3015467']",7.2,116044347
Pitch Perfect 2,"['Comedy', 'Music']",['nm0006969'],"['nm0134224', 'nm3015467']",6.4,287625468
Pixels,"['Action', 'Comedy', 'Sci-Fi']",['nm0001060'],"['nm0379056', 'nm0000251', 'nm1268896']",5.6,244041804
Pixels,"['Action', 'Comedy']",['nm3941893'],['nm3941893'],4.6,244041804
Planet 51,"['Adventure', 'Animation', 'Comedy']","['nm3360961', 'nm3483756', 'nm3371961']","['nm0830294', 'nm3371961', 'nm3360961', 'nm3483756', 'nm2171590']",6.1,108996113
Planet of the Apes,"['Action', 'Adventure', 'Sci-Fi']",['nm0000318'],"['nm0099541', 'nm0115310', 'nm0465199', 'nm0742797']",5.7,362211740
Pleasantville,"['Comedy', 'Drama', 'Fantasy']",['nm0002657'],['nm0002657'],7.5,49805462
Pocahontas,"['Adventure', 'Animation', 'Drama']","['nm0300265', 'nm0325196']","['nm0082772', 'nm0335666', 'nm0493857', 'nm0443855', 'nm0335469', 'nm0957798', 'nm0560329', 'nm0326814', 'nm0436314', 'nm0322368', 'nm0316727', 'nm0606407', 'nm1190000', 'nm0548211', 'nm0118333', 'nm0152284', 'nm0142200', 'nm0278181', 'nm0424666', 'nm0389445', 'nm0699213', 'nm0710181', 'nm1786806', 'nm0563602', 'nm0234837', 'nm0460146', 'nm0300265']",6.7,347100000
Poetic Justice,"['Drama', 'Romance']",['nm0005436'],['nm0005436'],6.0,27450453
Point Break,"['Action', 'Crime', 'Sport']",['nm0179697'],"['nm0934483', 'nm0004488', 'nm0407717']",5.3,83531958
Point Break,"['Action', 'Crime', 'Sport']",['nm0179697'],"['nm0934483', 'nm0004488', 'nm0407717']",5.3,126704591
Point Break,"['Action', 'Crime', 'Thriller']",['nm0000941'],"['nm0004488', 'nm0407717']",7.2,83531958
Point Break,"['Action', 'Crime', 'Thriller']",['nm0000941'],"['nm0004488', 'nm0407717']",7.2,126704591
Point of No Return,['Thriller'],['nm0600143'],['nm0600143'],5.6,30038362
Point of No Return,"['Action', 'Crime', 'Drama']",['nm0000824'],"['nm0000108', 'nm0315205', 'nm0785311']",6.0,30038362
Poltergeist,"['Horror', 'Thriller']",['nm1481493'],"['nm1865755', 'nm0000229', 'nm0334457', 'nm0896131']",4.9,95718291
Pompeii,"['Action', 'Adventure', 'Drama']",['nm0027271'],"['nm0060760', 'nm0060761', 'nm3467335']",5.5,108469033
Pooh's Heffalump Movie,"['Animation', 'Comedy', 'Family']",['nm0632893'],"['nm0389830', 'nm0818746', 'nm0590316', 'nm9249394']",6.4,55686944
Poseidon,"['Action', 'Adventure', 'Drama']",['nm0000583'],"['nm0698873', 'nm0302904']",5.6,181674817
Posse,['Western'],['nm0005522'],"['nm0724784', 'nm0769123']",5.5,19290000
Postcards from the Edge,"['Comedy', 'Drama']",['nm0001566'],['nm0000402'],6.7,37963281
Powder,['Drama'],['nm1349387'],['nm1093541'],4.3,30833914
Powder,"['Comedy', 'Drama']",['nm0208544'],['nm0208544'],4.1,30833914
Powder,"['Drama', 'Fantasy', 'Mystery']",['nm0759207'],['nm0759207'],6.6,30833914
Practical Magic,"['Comedy', 'Drama', 'Fantasy']",['nm0001162'],"['nm0388805', 'nm0842523', 'nm0326040', 'nm0111845']",6.2,68336997
Predator 2,"['Action', 'Horror', 'Sci-Fi']",['nm0394280'],"['nm0859029', 'nm0859049']",6.3,54768418
Predators,"['Action', 'Adventure', 'Sci-Fi']",['nm0030735'],"['nm0514821', 'nm3360218', 'nm0859029', 'nm0859049']",6.4,127234389
Predators,['\\N'],['nm1075025'],['nm1075025'],4.6,127234389
Prelude to a Kiss,"['Comedy', 'Fantasy', 'Romance']",['nm0720000'],['nm0524108'],5.6,22697691
Premonition,"['Drama', 'Fantasy', 'Mystery']",['nm0946327'],['nm0446210'],5.9,81461343
Premonition,['Horror'],['nm0875468'],"['nm1666021', 'nm0875468', 'nm1456098']",6.3,81461343
Presumed Innocent,"['Mystery', 'Thriller']",['nm0001587'],"['nm0878017', 'nm0682757', 'nm0001587']",6.9,221300000
Pretty Woman,"['Comedy', 'Drama']",['nm0913873'],['nm0847170'],5.0,432645872
Pretty Woman,"['Action', 'Comedy', 'Crime']",['nm0947779'],['nm1265470'],5.1,432645872
Pretty Woman,"['Comedy', 'Romance']",['nm0005190'],['nm0493369'],7.0,432645872
Pride & Prejudice,"['Drama', 'Romance']",['nm0942504'],"['nm0000807', 'nm0595738', 'nm0000668']",7.8,126549607
Priest,"['Action', 'Fantasy', 'Horror']",['nm0829820'],"['nm2309430', 'nm2312828']",5.7,84154026
Priest,"['Drama', 'Romance']",['nm0000944'],['nm0569568'],7.1,84154026
Primal Fear,"['Crime', 'Drama', 'Mystery']",['nm0387706'],"['nm0225942', 'nm0787399', 'nm0081189']",7.7,102573633
Primary Colors,"['Comedy', 'Drama']",['nm0001566'],"['nm0458826', 'nm0561938']",6.7,39017984
Prime,"['Comedy', 'Drama', 'Romance']",['nm0950226'],['nm0950226'],6.2,67527153
Prisoners,"['Crime', 'Drama', 'Mystery']",['nm0898288'],['nm3360706'],8.1,113402302
Private Parts,"['Biography', 'Comedy', 'Drama']",['nm0858525'],"['nm0001769', 'nm0089676', 'nm0435701']",6.8,41198146
Problem Child,"['Comedy', 'Family']",['nm0240797'],"['nm0018735', 'nm0438989']",5.3,72270895
Problem Child 2,"['Comedy', 'Family']",['nm0505152'],"['nm0018735', 'nm0438989']",4.6,25104700
Project X,['Comedy'],['nm1294036'],"['nm0236966', 'nm0045209']",6.7,103028188
Project X,['Drama'],"['nm1304031', 'nm3121624']",['\\N'],5.9,103028188
Project X,['Drama'],['nm2603038'],['\\N'],5.7,103028188
Prom Night,"['Horror', 'Mystery']",['nm1879589'],['nm0136592'],3.9,57193655
Prometheus,"['Adventure', 'Mystery', 'Sci-Fi']",['nm0000631'],"['nm3123612', 'nm0511541', 'nm0639321', 'nm0795953']",7.0,402448265
Prometheus,['Drama'],['nm0365912'],['nm0365912'],6.7,402448265
Proof of Life,"['Action', 'Drama', 'Thriller']",['nm0000431'],"['nm0006904', 'nm0698295', 'nm0362998']",6.2,62761005
Psycho,['Thriller'],['nm4870751'],"['nm5749096', 'nm5060304', 'nm0890060']",5.3,37226218
Psycho,"['Horror', 'Mystery', 'Thriller']",['nm0001814'],"['nm0088645', 'nm0825010']",4.6,37226218
Public Enemies,"['Biography', 'Crime', 'Drama']",['nm0000520'],"['nm0072032', 'nm0000520', 'nm0081189', 'nm0123174']",7.0,212282709
Pulp Fiction,"['Crime', 'Drama']",['nm0000233'],"['nm0000233', 'nm0000812']",8.9,212928762
Pump Up the Volume,"['Comedy', 'Drama', 'Music']",['nm0610496'],['nm0610496'],7.2,11541758
Pure Country,"['Drama', 'Music', 'Romance']",['nm0128883'],['nm0569120'],7.0,10705365
Pure Luck,"['Comedy', 'Crime', 'Mystery']",['nm0850958'],"['nm0891554', 'nm0918339', 'nm0365390']",5.7,22641969
Puss in Boots,"['Action', 'Adventure', 'Animation']",['nm3735491'],"['nm1117226', 'nm0528244', 'nm0204030', 'nm0674518', 'nm0825738']",6.6,554987477
Puss in Boots,['Animation'],['nm0629216'],"['nm0342278', 'nm0342303', 'nm0629216']",5.4,554987477
Puss in Boots,"['Adventure', 'Animation', 'Comedy']",['nm0805291'],"['nm1726523', 'nm1068045', 'nm0674518']",5.1,554987477
Q & A,"['Crime', 'Drama', 'Thriller']",['nm0001486'],"['nm0868620', 'nm0001486', 'nm0000647']",6.5,11207000
Quantum of Solace,"['Action', 'Adventure', 'Thriller']",['nm0286975'],"['nm0353673', 'nm0701031', 'nm0905498', 'nm0001220']",6.6,591692078
Quick Change,['Drama'],['nm2881346'],['nm2881346'],6.6,15260154
Quick Change,"['Comedy', 'Crime']","['nm0000195', 'nm0291442']","['nm0188832', 'nm0291442']",6.8,15260154
Quigley Down Under,"['Action', 'Adventure', 'Drama']",['nm0934578'],['nm0384398'],6.9,21413105
Quiz Show,"['Biography', 'Drama', 'History']",['nm0000602'],"['nm0001921', 'nm0329544']",7.5,24787282
R.I.P.D.,"['Action', 'Adventure', 'Comedy']",['nm0777881'],"['nm0006534', 'nm0542062', 'nm0229694', 'nm0006997', 'nm9592688']",5.6,79076678
RED 2,"['Action', 'Comedy', 'Crime']",['nm0661751'],"['nm0388377', 'nm0388375', 'nm1979137', 'nm1216642']",6.6,141507355
Race to Witch Mountain,"['Action', 'Adventure', 'Family']",['nm0275698'],"['nm2188941', 'nm0093560', 'nm0450720']",5.7,105103784
Racing Stripes,"['Adventure', 'Comedy', 'Drama']",['nm0238865'],"['nm1419268', 'nm1176853', 'nm0210320', 'nm0238865']",5.2,89955540
Radio,['Thriller'],['nm2942598'],['nm5576804'],3.8,53293628
Radio,"['Biography', 'Drama', 'Sport']",['nm0866132'],"['nm0723692', 'nm1627672']",6.9,53293628
Radio,"['Comedy', 'Thriller']",['nm0487990'],"['nm0487990', 'nm0700284']",8.1,53293628
Railroad Tigers,"['Action', 'Comedy', 'War']",['nm0227625'],"['nm0227625', 'nm2091311', 'nm8691513']",5.9,101813277
Raising Cain,"['Crime', 'Drama', 'Horror']",['nm0000361'],['nm0000361'],6.0,21171695
Raising Helen,"['Comedy', 'Drama', 'Romance']",['nm0005190'],"['nm0166767', 'nm1621084', 'nm0024856', 'nm0066764']",6.0,49928680
Rambo,"['Comedy', 'Drama', 'Thriller']","['nm5862289', 'nm5736200']",['\\N'],6.3,112214531
Rambo,"['Action', 'Thriller', 'War']",['nm0000230'],"['nm0599393', 'nm0000230', 'nm0606251']",7.0,112214531
Random Hearts,"['Drama', 'Mystery', 'Romance']",['nm0001628'],"['nm0012258', 'nm0690431', 'nm0525104']",5.1,63200000
Rango,"['Adventure', 'Animation', 'Comedy']",['nm0893659'],"['nm0517589', 'nm0893659', 'nm0126096']",7.2,245724600
Ransom,"['Action', 'Crime', 'Thriller']",['nm0000165'],"['nm0401738', 'nm0537363', 'nm0697115', 'nm0407245']",6.6,308700000
Rapid Fire,"['Action', 'Crime', 'Drama']",['nm0514546'],"['nm0162734', 'nm0568416']",6.3,14356479
Rat Race,"['Adventure', 'Comedy']",['nm0958387'],['nm0106563'],6.4,86607223
Ratatouille,"['Adventure', 'Animation', 'Comedy']","['nm0083348', 'nm0684342']","['nm0083348', 'nm0684342', 'nm0135296', 'nm1486235', 'nm1271884', 'nm0677037']",8.0,626549695
Ray,"['Biography', 'Drama', 'Music']",['nm0000431'],"['nm0000431', 'nm1343803']",7.7,124823094
Real Steel,"['Action', 'Drama', 'Family']",['nm0506613'],"['nm0558577', 'nm0309691', 'nm0319659', 'nm0505230']",7.1,263880341
Reality Bites,"['Comedy', 'Drama', 'Romance']",['nm0001774'],['nm0157536'],6.6,20079850
Recess: School's Out,"['Animation', 'Comedy', 'Family']",['nm0790746'],"['nm0314480', 'nm0030651', 'nm0338537']",6.6,44451470
Red,['Drama'],['nm0334787'],['nm0517589'],7.3,196439693
Red,['Thriller'],['nm4284789'],['nm4284789'],5.5,196439693
Red,['Drama'],['nm2036003'],"['nm2036003', 'nm0309453']",8.4,196439693
Red,['Thriller'],['nm3619191'],"['nm3619191', 'nm1311324']",8.0,196439693
Red,"['Drama', 'Horror', 'Thriller']","['nm1031246', 'nm0226148']","['nm0839812', 'nm1626482']",7.1,196439693
Red,"['Action', 'Drama']",['nm2670388'],['\\N'],4.5,196439693
Red,"['Drama', 'Family', 'Thriller']",['nm0423167'],['nm0423167'],6.5,196439693
Red Cliff,"['Action', 'Adventure', 'Drama']",['nm0000247'],"['nm0000247', 'nm1502082', 'nm1171056', 'nm2370726', 'nm0526824']",7.4,119627047
Red Corner,"['Crime', 'Drama', 'Thriller']",['nm0000816'],['nm0455207'],6.3,22442815
Red Dragon,"['Crime', 'Drama', 'Thriller']",['nm0711840'],"['nm0365383', 'nm0848217']",7.2,206455420
Red Dragon,['Crime'],['nm0543647'],['nm0543647'],4.1,206455420
Red Eye,['Horror'],['nm7370305'],"['nm7370305', 'nm7430198']",3.4,96666486
Red Eye,"['Mystery', 'Thriller']",['nm0000127'],"['nm1929257', 'nm0255296']",6.5,96666486
Red Eye,['Horror'],['nm1013656'],['\\N'],4.9,96666486
Red Planet,"['Action', 'Sci-Fi', 'Thriller']",['nm0388817'],"['nm0679326', 'nm0501380']",5.7,33463969
Red Riding Hood,"['Fantasy', 'Horror', 'Mystery']",['nm0362566'],['nm0424901'],5.5,91678442
Red Riding Hood,"['Adventure', 'Family', 'Musical']",['nm0459170'],"['nm1044435', 'nm0342278', 'nm0342303']",3.2,91678442
Red Riding Hood,"['Drama', 'Horror', 'Thriller']",['nm1480867'],"['nm1484682', 'nm0039890']",4.7,91678442
Regarding Henry,"['Drama', 'Romance']",['nm0001566'],['nm0009190'],6.7,43001500
Reign of Fire,"['Action', 'Adventure', 'Fantasy']",['nm0101385'],"['nm0149305', 'nm0676270', 'nm0338557']",6.2,82150183
Remember Me,['Comedy'],['nm3566419'],['nm3566419'],5.4,56506120
Remember Me,"['Drama', 'Romance']",['nm0002339'],['nm3391497'],7.1,56506120
Remember the Titans,"['Biography', 'Drama', 'Sport']",['nm0945026'],['nm0397322'],7.8,136706683
Renaissance Man,['Documentary'],['nm9523939'],['nm0216016'],5.4,24172899
Renaissance Man,"['Comedy', 'Drama']",['nm0001508'],['nm0122950'],6.1,24172899
Resident Evil,"['Action', 'Horror', 'Sci-Fi']",['nm0027271'],['nm0027271'],6.7,103787401
Resident Evil: Afterlife,"['Action', 'Adventure', 'Horror']",['nm0027271'],['nm0027271'],5.9,295874190
